IP,Total Requests,Daily Mean,GET requests,Successful requests,Mean Return Size,Return Size Std,Mean Time Difference
1.22.35.226,6,6.0,6,6,13380.5,19439.904945755265,7.0
100.2.4.116,6,3.0,6,6,18111727.0,28036546.87354678,1201.6666666666667
100.43.83.137,84,21.0,84,56,15059.738095238095,14691.328815471881,2485.2261904761904
101.119.18.35,33,33.0,33,32,71442.42424242424,113606.37546068615,1.696969696969697
101.199.108.50,3,3.0,3,3,14608.0,20291.266421788463,5.0
101.226.168.196,1,1.0,1,1,12292.0,0.0,0.0
101.226.168.198,1,1.0,1,0,7861.0,0.0,0.0
101.226.33.222,2,2.0,2,1,9600.5,13077.939918045196,2.0
103.245.44.13,4,2.0,4,4,13435.75,17951.293665081634,1.75
103.247.192.5,1,1.0,1,1,175208.0,0.0,0.0
103.25.13.22,1,1.0,1,1,65748.0,0.0,0.0
103.9.43.132,1,1.0,1,1,175208.0,0.0,0.0
105.224.234.235,1,1.0,1,1,3638.0,0.0,0.0
105.235.130.196,6,6.0,6,6,27140.5,27475.973218432136,7.666666666666667
105.235.218.242,6,6.0,6,6,13380.5,19439.904945755265,8.166666666666666
106.187.34.32,8,8.0,8,7,16341.75,21839.287414787927,1801.875
106.187.98.170,1,1.0,1,1,36159.0,0.0,0.0
106.36.113.138,1,1.0,1,1,321631.0,0.0,0.0
106.51.144.106,10,10.0,10,9,20659.8,21303.373638933343,365.7
106.51.250.126,6,6.0,6,6,13380.5,19439.904945755265,7.166666666666667
106.66.30.77,1,1.0,1,1,65748.0,0.0,0.0
106.78.19.160,18,9.0,18,7,3871.0,5722.901886281121,3.0555555555555554
106.79.29.147,6,6.0,6,6,14089.0,19469.741970555235,9.666666666666666
107.170.40.197,3,1.0,3,3,32352.0,0.0,0.0
107.170.40.198,4,1.3333333333333333,4,4,32352.0,0.0,14396.5
107.170.40.199,6,1.5,6,6,32352.0,0.0,11401.166666666666
107.170.40.200,3,1.5,3,3,32352.0,0.0,10799.666666666666
107.170.40.201,4,2.0,4,4,32352.0,0.0,4484.75
107.170.40.203,4,1.3333333333333333,4,4,32352.0,0.0,1808.75
107.170.40.204,7,1.75,7,7,32352.0,0.0,11822.714285714286
107.170.40.205,4,1.3333333333333333,4,4,32352.0,0.0,7190.0
107.170.41.69,10,2.5,10,10,32352.0,0.0,9358.0
107.170.9.55,5,2.5,5,5,32352.0,0.0,4318.8
107.203.4.32,6,6.0,6,6,13380.5,19439.904945755265,7.666666666666667
107.22.42.225,1,1.0,1,1,3638.0,0.0,0.0
108.15.20.23,6,6.0,6,6,13380.5,19439.904945755265,6.5
108.170.215.93,4,4.0,4,4,12492.5,17099.464601754837,7.5
108.171.116.194,65,16.25,65,65,10532.984615384616,1402.5470746590345,722.5384615384615
108.174.55.234,23,5.75,23,23,29941.0,0.0,10801.478260869566
108.178.13.202,2,2.0,2,2,9482.0,0.0,9.0
108.178.4.100,2,2.0,2,2,18729.0,0.0,3.0
